feature,importance_mean,importance_std
Fp2_theta_abs_power,0.0,0.0
Fp2_theta_rel_power,0.0,0.0
Fp2_alpha_abs_power,0.0,0.0
Fp2_alpha_rel_power,0.0,0.0
F3_delta_abs_power,0.0,0.0
O1_q25,0.0,0.0
F3_alpha_rel_power,0.0,0.0
F7_min,0.0,0.0
Fp1_beta_rel_power,0.0,0.0
Fp1_gamma_rel_power,0.0,0.0
F7_theta_rel_power,0.0,0.0
Fp2_delta_abs_power,0.0,0.0
F7_gamma_abs_power,0.0,0.0
F7_theta_beta_ratio,0.0,0.0
F8_delta_abs_power,0.0,0.0
F7_alpha_abs_power,0.0,0.0
O2_alpha_rel_power,0.0,0.0
F7_spectral_entropy,0.0,0.0
F7_delta_rel_power,0.0,0.0
O1_beta_abs_power,0.0,0.0
O2_spectral_entropy,0.0,0.0
F3_theta_abs_power,0.0,0.0
O1_q75,0.0,0.0
F3_alpha_abs_power,0.0,0.0
O1_mean,0.0,0.0
P4_energy,0.0,0.0
O1_median,0.0,0.0
O1_var,0.0,0.0
O1_theta_rel_power,0.0,0.0
C4_theta_rel_power,0.0,0.0
O1_min,0.0,0.0
O1_max,0.0,0.0
P3_delta_abs_power,0.0,0.0
C3_spectral_entropy,0.0,0.0
C3_delta_rel_power,0.0,0.0
C3_alpha_rel_power,0.0,0.0
C3_gamma_rel_power,0.0,0.0
C4_delta_rel_power,0.0,0.0
C4_gamma_rel_power,0.0,0.0
P3_spectral_entropy,0.0,0.0
F4_delta_rel_power,0.0,0.0
F4_delta_abs_power,0.0,0.0
F4_alpha_rel_power,0.0,0.0
F4_theta_rel_power,0.0,0.0
F7_max,0.0,0.0
F7_range,0.0,0.0
F8_median,0.0,0.0
F4_gamma_rel_power,0.0,0.0
F3_gamma_rel_power,0.0,0.0
P3_range,0.0,0.0
P4_median,0.0,0.0
P4_mean,0.0,0.0
P4_var,0.0,0.0
P4_iqr,0.0,0.0
Fp1_theta_rel_power,0.0,0.0
O1_iqr,0.0,0.0
C4_energy,0.0,0.0
P4_q75,0.0,0.0
P4_min,0.0,0.0
C4_rms,0.0,0.0
P3_var,0.0,0.0
P3_mean,0.0,0.0
P3_median,0.0,0.0
P3_std,0.0,0.0
P4_delta_abs_power,0.0,0.0
P4_delta_rel_power,0.0,0.0
P4_theta_abs_power,0.0,0.0
P4_beta_rel_power,0.0,0.0
P4_theta_beta_ratio,0.0,0.0
P3_min,0.0,0.0
P3_max,0.0,0.0
P4_spectral_entropy,0.0,0.0
P3_theta_rel_power,0.0,0.0
P3_alpha_rel_power,0.0,0.0
P3_beta_rel_power,0.0,0.0
P3_gamma_abs_power,0.0,0.0
P3_theta_beta_ratio,0.0,0.0
P8_delta_rel_power,0.0,0.0
P8_theta_rel_power,0.0,0.0
P8_theta_beta_ratio,0.0,0.0
Pz_beta_rel_power,0.0,0.0
F4_median,0.0,0.0
T8_theta_beta_ratio,0.0,0.0
P7_alpha_abs_power,0.0,0.0
P7_alpha_rel_power,0.0,0.0
O1_spectral_entropy,0.0,0.0
O1_delta_abs_power,0.0,0.0
P3_delta_rel_power,0.0,0.0
C4_range,0.0,0.0
P8_spectral_entropy,0.0,0.0
P7_beta_rel_power,0.0,0.0
C4_q75,0.0,0.0
T8_alpha_rel_power,0.0,0.0
T8_beta_abs_power,0.0,0.0
T8_alpha_abs_power,0.0,0.0
T8_theta_rel_power,0.0,0.0
C3_q25,0.0,0.0
C4_mean,0.0,0.0
C4_median,0.0,0.0
C4_var,0.0,0.0
C4_min,0.0,0.0
C4_max,0.0,0.0
C3_min,0.0,0.0
C3_max,0.0,0.0
Fp1_max,0.0,0.0
Pz_alpha_abs_power,0.0,0.0
T8_energy,0.0,0.0
T8_rms,0.0,0.0
Pz_spectral_entropy,0.0,0.0
Pz_delta_abs_power,0.0,0.0
P7_median,0.0,0.0
P7_max,0.0,0.0
Fz_beta_rel_power,0.0,0.0
Pz_theta_abs_power,0.0,0.0
Fz_gamma_abs_power,0.0,0.0
Fz_gamma_rel_power,0.0,0.0
Cz_alpha_rel_power,0.0,0.0
Cz_delta_abs_power,0.0,0.0
Fz_delta_rel_power,0.0,0.0
Fz_spectral_entropy,0.0,0.0
Fz_theta_beta_ratio,-6.744353211152187e-06,0.0008841997697058711
Pz_min,-3.261603379226541e-05,0.001761599537355714
F4_spectral_entropy,-4.5701884913995625e-05,0.0015313710025701452
Pz_std,-0.0001051041338168246,0.0013923908997951007
O2_iqr,-0.0001636049526286265,0.001642118801055056
P4_range,-0.0001864741351621624,0.0010600132300677854
Fp1_alpha_abs_power,-0.00019397180091530465,0.0005819154027459139
C3_delta_abs_power,-0.00020024781103805678,0.0014087159269348837
T8_delta_abs_power,-0.0002010622481249835,0.0006031867443749505
C3_theta_rel_power,-0.0002010622481249835,0.0006031867443749505
Cz_spectral_entropy,-0.0002010622481249835,0.0006031867443749505
Cz_gamma_rel_power,-0.00020780660133613572,0.001069079703155944
F3_theta_rel_power,-0.00022054101397640525,0.0010669055641150246
P8_beta_rel_power,-0.0003879436018306093,0.0007758872036612186
Pz_delta_rel_power,-0.0003879436018306093,0.0007758872036612186
O2_theta_rel_power,-0.0003879436018306093,0.0007758872036612186
Fp1_alpha_rel_power,-0.0003879436018306093,0.0007758872036612186
F8_std,-0.000402124496249967,0.0008042489924999339
F7_alpha_rel_power,-0.000402124496249967,0.0008042489924999339
P8_beta_abs_power,-0.000402124496249967,0.000804248992499934
Fp1_energy,-0.0004283765610345047,0.0019303761240166291
P8_alpha_abs_power,-0.0004285329320333431,0.002334158978387483
