metric,model_a,model_b,n_folds,mean_diff,t_stat,p_value,p_value_bonferroni,significant_bonferroni_5pct
F1_epoch,random_forest,xgboost,5,0.00973745216862163,0.7812311694213008,0.4783186891162336,1.0,False
F1_epoch,random_forest,eegnet,5,0.08682074033335371,3.3002882804348217,0.029925334334289934,0.8379093613601182,False
F1_epoch,random_forest,cnn_1d,5,-0.013779678404136053,-0.36924204620351153,0.7306628588011699,1.0,False
F1_epoch,random_forest,cnn_lstm,5,-0.005191255984041354,-0.20718975768325415,0.8459819120069643,1.0,False
F1_epoch,xgboost,eegnet,5,0.07708328816473209,2.9279217265857604,0.04290269546487279,1.0,False
F1_epoch,xgboost,cnn_1d,5,-0.023517130572757682,-0.5358562719027143,0.6204667849945056,1.0,False
F1_epoch,xgboost,cnn_lstm,5,-0.014928708152662984,-0.5123706784290946,0.6353859164722366,1.0,False
F1_epoch,eegnet,cnn_1d,5,-0.10060041873748977,-2.2463974240953144,0.08799566669853315,1.0,False
F1_epoch,eegnet,cnn_lstm,5,-0.09201199631739507,-2.486485265203433,0.06773883146482133,1.0,False
F1_epoch,cnn_1d,cnn_lstm,5,0.008588422420094699,0.3889295248795905,0.7171445429390146,1.0,False
BalancedAccuracy_epoch,logistic_regression,rbf_svc,5,-0.062271886079276514,-2.6663458683970807,0.05601871255666507,1.0,False
BalancedAccuracy_epoch,logistic_regression,knn,5,-0.04090287693288155,-0.8976795529548167,0.4201042503472441,1.0,False
BalancedAccuracy_epoch,logistic_regression,random_forest,5,-0.09585770053532794,-3.1665521192720276,0.03396987483137475,0.951156495278493,False
BalancedAccuracy_epoch,logistic_regression,xgboost,5,-0.08687621497493839,-2.369119117673113,0.07689468896780369,1.0,False
BalancedAccuracy_epoch,logistic_regression,eegnet,5,-0.038729451160052684,-1.0662359489457214,0.34639711044558846,1.0,False
BalancedAccuracy_epoch,logistic_regression,cnn_1d,5,-0.1160783729843949,-2.1617827877529643,0.09669575202680104,1.0,False
BalancedAccuracy_epoch,logistic_regression,cnn_lstm,5,-0.10715537650789786,-2.8911893128097597,0.04450971832044138,1.0,False
BalancedAccuracy_epoch,rbf_svc,knn,5,0.021369009146394967,0.8194529173791516,0.4585445405540364,1.0,False
BalancedAccuracy_epoch,rbf_svc,random_forest,5,-0.033585814456051424,-1.9865605512633737,0.11791341043256515,1.0,False
BalancedAccuracy_epoch,rbf_svc,xgboost,5,-0.024604328895661866,-0.9342511679898525,0.4030641031938022,1.0,False
BalancedAccuracy_epoch,rbf_svc,eegnet,5,0.02354243491922383,0.6988714904399079,0.5231344610294744,1.0,False
BalancedAccuracy_epoch,rbf_svc,cnn_1d,5,-0.05380648690511838,-1.4182719818566019,0.22909771733478204,1.0,False
BalancedAccuracy_epoch,rbf_svc,cnn_lstm,5,-0.044883490428621345,-2.2247894226734393,0.09013111546161764,1.0,False
BalancedAccuracy_epoch,knn,random_forest,5,-0.05495482360244639,-3.3232509925152316,0.029289489217580747,0.820105698092261,False
BalancedAccuracy_epoch,knn,xgboost,5,-0.04597333804205683,-2.2275344678506137,0.08985664200371836,1.0,False
BalancedAccuracy_epoch,knn,eegnet,5,0.002173425772828863,0.07154197136323731,0.9464006587691686,1.0,False
BalancedAccuracy_epoch,knn,cnn_1d,5,-0.07517549605151334,-2.256612563676998,0.08700591288573457,1.0,False
BalancedAccuracy_epoch,knn,cnn_lstm,5,-0.0662524995750163,-2.5456727341243996,0.06359671368723262,1.0,False
BalancedAccuracy_epoch,random_forest,xgboost,5,0.008981485560389557,0.6961242711288375,0.5246809063130115,1.0,False
BalancedAccuracy_epoch,random_forest,eegnet,5,0.057128249375275254,2.9091566964288478,0.04371504679466706,1.0,False
BalancedAccuracy_epoch,random_forest,cnn_1d,5,-0.020220672449066956,-0.5402484524830063,0.6177006431474463,1.0,False
BalancedAccuracy_epoch,random_forest,cnn_lstm,5,-0.01129767597256992,-0.471013215659622,0.6621700573969483,1.0,False
BalancedAccuracy_epoch,xgboost,eegnet,5,0.048146763814885696,2.698574463359939,0.05417427364925159,1.0,False
BalancedAccuracy_epoch,xgboost,cnn_1d,5,-0.029202158009456514,-0.6601075455953954,0.5452592141598058,1.0,False
BalancedAccuracy_epoch,xgboost,cnn_lstm,5,-0.02027916153295948,-0.695806571364182,0.5248599566135528,1.0,False
BalancedAccuracy_epoch,eegnet,cnn_1d,5,-0.0773489218243422,-1.7598682497458709,0.15324037700953613,1.0,False
BalancedAccuracy_epoch,eegnet,cnn_lstm,5,-0.06842592534784517,-1.9645138110903944,0.12092727741108726,1.0,False
BalancedAccuracy_epoch,cnn_1d,cnn_lstm,5,0.008922996476497035,0.3790603064517654,0.7239059792338349,1.0,False
